t,asks[0].price,asks[0].amount,asks[1].price,asks[1].amount,asks[2].price,asks[2].amount,asks[3].price,asks[3].amount,asks[4].price,asks[4].amount,asks[5].price,asks[5].amount,asks[6].price,asks[6].amount,asks[7].price,asks[7].amount,asks[8].price,asks[8].amount,asks[9].price,asks[9].amount,bids[0].price,bids[0].amount,bids[1].price,bids[1].amount,bids[2].price,bids[2].amount,bids[3].price,bids[3].amount,bids[4].price,bids[4].amount,bids[5].price,bids[5].amount,bids[6].price,bids[6].amount,bids[7].price,bids[7].amount,bids[8].price,bids[8].amount,bids[9].price,bids[9].amount
1569888002432,8461.5,210,8462,3000,8466,10000,8466.5,7230,8467,29990,8467.5,200,8468.5,6540,8469,500,8469.5,200,8470,580,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,10500,8457,35000,8456.5,10000,8456,10410,8455,520,8454.5,670
1569888002506,8461.5,210,8462,3000,8466,10000,8466.5,7230,8467,29990,8467.5,200,8468.5,6540,8469,500,8469.5,200,8470,580,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,10500,8457,35000,8456.5,10000,8456,10410,8455,10,8454.5,1210
1569888003096,8461.5,210,8462,3000,8466,10000,8466.5,7230,8467.5,200,8468.5,6540,8469,500,8469.5,200,8470,580,8470.5,12470,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,10500,8457,35000,8456.5,10000,8456,10410,8455,10,8454.5,1210
1569888003166,8461.5,210,8462,3000,8466,10000,8466.5,7230,8467.5,200,8468,29990,8468.5,6540,8469,500,8469.5,200,8470,580,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,10500,8457,35000,8456.5,10000,8456,10410,8455,10,8454.5,1210
1569888003235,8461.5,210,8462,3000,8466,10000,8466.5,7230,8467.5,200,8468,29990,8468.5,6540,8469,500,8469.5,200,8470,580,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,10500,8457,25000,8456.5,10000,8456,10410,8455,10,8454.5,1210
1569888003236,8461.5,210,8462,3000,8466,10000,8466.5,7230,8467.5,200,8468,29990,8468.5,6540,8469,500,8469.5,200,8470,580,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,20500,8457,25000,8456.5,10000,8456,10410,8455,10,8454.5,1210
1569888003262,8461.5,210,8462,3000,8466,10000,8466.5,7230,8467.5,200,8468,29990,8468.5,6540,8469,500,8469.5,200,8470,580,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,20500,8457,25000,8456.5,10000,8456,10410,8455,520,8454.5,670
1569888003345,8461.5,210,8462,3000,8466,10000,8466.5,7230,8467.5,200,8468,29990,8468.5,6540,8469,500,8469.5,200,8470,580,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,20500,8457,25000,8456.5,10000,8456,10410,8455,10,8454.5,1220
1569888003437,8461.5,210,8462,3000,8466,10000,8466.5,3000,8467.5,200,8468,29990,8468.5,10770,8469,500,8469.5,200,8470,580,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,20500,8457,25000,8456.5,10000,8456,10410,8455,10,8454.5,1220
1569888003473,8461.5,210,8462,3000,8466.5,3000,8467.5,200,8468,29990,8468.5,10770,8469,500,8469.5,200,8470,580,8470.5,13470,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,20500,8457,25000,8456.5,10000,8456,10410,8455,10,8454.5,1220
1569888003853,8461.5,210,8462,3000,8466.5,3000,8467.5,200,8468,29990,8468.5,10770,8469,500,8469.5,200,8470,580,8470.5,13470,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,20500,8457,50000,8456.5,10000,8456,10410,8455,10,8454.5,1220
1569888003855,8461.5,210,8462,3000,8466.5,3000,8467.5,200,8468,29990,8468.5,10770,8469,500,8469.5,200,8470,580,8470.5,12470,8460,10500,8459.5,50000,8458.5,10000,8458,10710,8457.5,20500,8457,50000,8456.5,10000,8456,10410,8455,10,8454.5,1220
